ax,ay,az,wx,wy,wz
-1.79,-0.76,-0.72,3.02,-7,3.02
-1.43,-0.06,0.44,2.91,-6.65,3.38
-0.79,0.57,1.04,2.91,-6.65,3.38
0.11,1.14,1.84,2.9,-6.21,3.76
1.1,1.9,2.48,2.9,-6.21,3.76
2.78,2.63,3.04,2.07,-4.13,3.74
4.97,3.14,3.46,1.21,-2.33,3.66
5.93,3.13,2.02,0.27,-0.34,3.42
6.28,2.52,0.58,0.27,-0.34,3.42
6.71,2.09,0.37,-1.08,1.63,2.51
7.65,2.4,1.03,-1.17,1.32,2.23
8.28,3.21,2.25,-1.17,1.32,2.23
9.01,4.09,4.23,-0.03,-0.47,2.15
9.24,4.37,4.25,0.94,-0.38,2.08
8.11,3.49,1.41,1.74,0.15,1.73
7.11,2.22,1.27,2.05,0.61,1.37
7.62,2.26,2.11,2.05,0.61,1.37
6.97,2.74,2.18,1.84,0.89,1.14
6.02,2.96,0.57,1.09,1.31,1.06
6.61,3.01,-0.93,0.67,1.39,1.19
7.09,2.31,-0.95,0.35,1.29,1.32
6.85,1.55,-1.12,0.2,1.08,1.36
6.81,1.06,-1.17,0.15,0.98,1.29
7.01,0.51,-0.99,0.15,0.98,1.29
5.96,-0.53,-0.84,0.22,1.24,0.66
4.35,-2.03,-0.31,0.38,0.82,0.15
0.52,-4.23,1.96,1.06,-0.17,-0.25
-1.5,-4.55,-0.41,2.14,-0.29,-0.19
-0.93,-3.16,-3.13,2.65,-0.64,0.05
-2.8,-3.94,0.73,2.75,-0.95,0.42
-2.91,-4.84,1.07,2.59,-1.2,0.94
-2.48,-4.39,1.73,2.36,-1.46,1.48
-2.31,-3.54,2.09,2.21,-1.89,1.96
-1.65,-3.09,2.4,2.23,-2.44,2.29
-0.77,-2.95,2.74,2.23,-2.44,2.29
0.14,-2.79,2.43,2.64,-2.8,2.19
1.15,-2.45,2.24,2.68,-2.26,1.8
1.72,-1.92,2.66,2.51,-1.45,1.39
2.21,-1.06,2.85,2.51,-1.45,1.39
2.67,-0.01,2.66,1.84,0.16,0.81
2.66,0.9,2.53,1.4,0.68,0.53
1.64,1.26,2.85,1.4,0.68,0.53
0.64,1.1,2.76,1.02,0.57,0.24
-0.07,0.93,2.63,1.23,0.25,0.46
-0.88,0.91,2.36,1.63,-0.09,0.84
-1.43,1.16,2.11,2.14,-0.63,1.27
-1.42,1.69,2.25,2.63,-1.17,1.43
-1.64,1.71,1.26,1.33,-1.63,1.73
-0.98,2.81,0.26,-1.13,-1.01,1.96
-0.8,4.78,-2.96,-2.04,0.41,1.75
0.58,4.85,-7.28,-1.78,0.88,0.93
1.42,1.33,-5.74,-0.66,1.23,-0.22
0.4,1.18,-5.58,0.07,0.33,-0.83
0.03,4.47,-1.96,0.07,0.33,-0.83
0.07,4.25,-3.78,0.05,-0.72,-0.64
0.63,3.99,-4.27,0.36,-1.15,-0.76
1.07,4.54,-5.17,0.55,-1.37,-1.16
0.75,4.86,-4.4,0.45,-1.22,-1.53
0.92,4.98,-3.95,0.45,-1.22,-1.53
1.26,5.02,-2.98,0.31,-0.95,-1.82
0.77,5.09,-2.56,0.16,-0.35,-1.82
0.2,4.58,-1.43,0.16,-0.35,-1.82
0.02,4.77,-0.96,0.11,-0.37,-1.34
0.2,4.45,-1.45,0.08,-0.17,-1.03
-0.42,4.15,-1.31,0.08,-0.17,-1.03
-0.47,3.93,-1.03,0.14,-0.04,-1.03
-0.5,3.93,-1.06,0.46,-0.13,-1.46
-0.51,3.92,-1.68,0.55,-0.32,-1.62
-0.44,4.55,-1.81,0.73,-0.79,-1.72
-0.55,5.1,-1.56,0.96,-1.42,-1.72
-0.64,5.25,-0.96,1.2,-1.97,-1.72
-0.81,5.41,-0.06,1.37,-2.29,-1.67
-1.1,5.27,0.85,1.44,-2.37,-1.54
-1.71,4.56,1.5,1.44,-2.37,-1.54
-1.62,3.55,1.54,1.52,-2.27,-1.36
-0.48,2.82,1.73,1.53,-1.77,-0.95
1.3,2.47,1.99,1.27,-1.34,-0.7
2.86,2.13,1.67,0.91,-0.75,-0.54
3.43,1.25,1.22,0.57,-0.34,-0.54
3.21,-0.11,1.68,0.57,-0.34,-0.54
1.98,-2.11,1.29,0.22,0.26,-0.8
0.86,-3.13,0.63,0.22,0.26,-0.8
0.01,-3.3,1.68,0.97,-1.18,-0.74
-0.72,-4.39,2.91,1.6,-2.08,-0.93
-0.18,-7.06,1.21,1.6,-2.08,-0.93
2,-6.94,0.38,1.58,-2.7,-0.98
3.05,-6.54,-1.52,1.03,-2.54,-0.64
2.94,-6.49,-2.43,0.82,-2.72,-0.51
3.48,-7,0.42,0.61,-2.95,-0.19
3.85,-5.84,1.8,0.61,-2.95,-0.19
2.62,-4.32,1.02,0.38,-1.98,0.72
1.07,-4.04,0.92,0.13,-1.31,0.7
1.77,-2.67,2.48,-0.21,-0.87,0.68
4,-1.13,3,-0.46,-0.29,0.57
4.86,-0.4,1.4,-0.46,-0.29,0.57
4.54,0.63,0.53,-0.64,0.7,0.36
2.8,1.66,0.87,-0.74,0.66,0.17
0.47,2.18,2.16,-0.67,0.3,0.02
-0.99,1.92,2.66,-0.39,-0.19,0.03
-1.08,1.16,2.02,-0.04,-0.66,0.32
-1.31,0.18,1.66,0.19,-0.97,0.81
-2.2,-0.93,1.63,0.28,-1.24,1.31
-2.85,-2.13,2.51,0.32,-1.46,1.73
-2.97,-3.32,3.68,0.35,-1.3,1.86
-2.88,-4.87,3.39,0.43,-0.83,1.8
-2.74,-6.23,1.33,0.43,-0.83,1.8
-2.94,-6.87,-0.53,0.77,-0.32,1.85
-3.63,-6.77,-1.39,0.88,-0.37,1.99
-4.21,-6.46,-1.64,0.89,-0.37,1.99
-4.15,-5.77,-0.87,0.79,-0.51,2.47
-4.28,-4.82,0.22,0.58,-0.32,2.5
-3.93,-3.88,0.6,0.47,0.07,2.46
-2.76,-3.11,0.84,0.59,0.52,2.35
-1.56,-2.06,1.38,0.84,1.11,1.99
-0.75,-0.64,1.39,0.91,1.98,1.54
0.11,1.34,0.65,0.91,1.98,1.54
1.17,2.27,0.87,1.35,3.1,0.33
1.52,2.44,1.36,0.7,3.51,-0.25
2.41,4.04,0.51,0.7,3.51,-0.25
3.94,3.77,-0.65,0.38,2.82,-1.13
3.8,4.77,-3.73,0.38,2.82,-1.13
2.92,6.14,-3.25,-0.26,1.08,-1.41
2.52,7.62,-5.45,-1.3,1.11,-1.43
2.11,7.37,-7.81,-1,0.73,-1.74
2.16,5.73,-6.02,-0.72,0.28,-1.94
2.07,4.37,-4.39,-0.52,-0.03,-1.98
1.5,4.61,-4.43,-0.42,-0.45,-2.03
1.12,3.88,-4.33,-0.46,-0.87,-2.24
0.91,3.77,-4.94,-0.45,-1.11,-2.53
0.58,3.71,-5.16,-0.45,-1.11,-2.53
0.68,2.69,-3.25,0.26,-1.8,-2.58
0,1.22,-1.42,0.52,-1.79,-2.18
-1.52,0.34,0.01,0.79,-1.48,-1.98
-2,0.06,1.51,1.01,-0.88,-2.04
0.48,1.72,3.15,1.16,-0.66,-1.79
2.71,2.22,5.18,1.16,-0.66,-1.79
2.96,1,5.95,1.7,-1.2,-1.09
2.17,0.37,5.86,1.85,-1.35,-1.05
1.6,-0.4,4.46,1.89,-1.34,-1.05
1.02,-0.47,2.87,2.16,-1.07,-1.03
-0.17,-1.32,1.4,2.51,-0.71,-0.89
-0.4,-2.21,2.04,2.85,-0.41,-0.64
0.01,-2.44,3.08,2.85,-0.41,-0.64
0.46,-1.73,4.09,3.02,-0.11,-0.21
0.74,-0.78,4.12,3.02,-0.11,-0.21
0.72,0.51,4.05,2.91,0.13,0.06
0.53,1.7,4.45,2.29,0.45,0.95
0.32,2.06,6.11,2.21,0.13,1.77
-1.31,-2.17,7.21,2.27,0.33,1.55
-1.2,-6.47,6.15,2.27,0.33,1.55
0.98,-4.15,4.82,1.92,1.43,0.87
2.14,-4.12,3.97,1.45,1.68,0.9
2.04,-5.21,3.72,1.02,1.69,0.91
0.21,-6.06,2.86,1.02,1.69,0.91
-1.48,-2.76,1.39,0.72,1.79,1.18
-2.2,-1.63,0.81,0.49,1.76,1.33
-1.92,-1.44,0.47,0.32,1.63,1.47
-0.95,-0.78,0.05,0.33,1.51,1.57
0.1,-0.31,0.32,0.33,1.51,1.57
0.88,-0.45,0.08,0.42,1.3,1.74
0.3,-0.81,-0.95,0.73,1.34,1.8
-0.99,-1.12,-1.19,0.91,1.19,1.68
-1.9,-1.26,-0.14,0.91,1.19,1.68
-2.32,-0.85,0.11,0.9,1.2,1.44
-2.27,-0.36,-0.57,0.9,1.2,1.44
-2.21,-0.17,-0.08,0.72,1.48,1.27
-2.06,0.51,0.75,0.61,1.56,1
-1.07,1.16,0.09,0.65,1.6,0.3
-0.09,1.67,0.29,0.6,1.4,-0.12
0.3,2.03,1.04,0.7,1.09,-0.6
0.87,2.63,0.43,0.49,1.35,-0.75
-0.28,3.99,-0.54,0.18,1.47,-0.64
-1.63,4.4,0.7,0.18,1.47,-0.64
-1.3,4.87,0.15,-0.06,1.49,-0.32
-1.68,5.2,-0.3,-0.06,1.49,-0.32
-2.16,4.6,-0.78,-0.04,0.66,-0.18
-1.33,4.59,-0.97,-0.04,0.66,-0.18
-0.37,5.09,-1.25,-0.29,0.15,-0.44
0.08,4.75,-1.61,-0.29,0.15,-0.44
0.54,4,-1.65,-0.38,-0.17,-0.79
1.1,3.4,-1.91,-0.38,-0.17,-0.79
1.65,3.53,-2.22,-0.31,-0.39,-0.88
2.01,3.33,-1.55,-0.24,-1.02,-0.72
2.29,2.52,-0.28,-0.19,-0.96,-0.54
2.22,3.72,-0.57,-0.05,-0.89,-0.31
1.83,5.51,0.07,-0.08,-0.95,-0.24
2.3,3.58,0.59,-0.03,-1.04,-0.22
2.86,2.08,0.74,-0.02,-1.17,-0.23
2.8,1.81,1.3,0,-1.34,-0.29
2.93,1.43,1.38,0.16,-1.58,-0.32
3.29,0.81,1.58,0.18,-1.89,-0.49
3.26,-0.2,2.12,-0.11,-2.06,-0.51
3.35,-0.3,1.85,-0.39,-1.97,-0.32
4.02,-0.74,1.04,-0.31,-1.66,-0.13
4.7,-1.08,0.28,0.1,-1.33,-0.18
4.75,-1.9,0.05,0.1,-1.33,-0.18
4.33,-1.73,-0.22,0.74,-1.06,-0.34
3.28,-1.55,-0.36,0.97,-1.24,-0.55
1.98,-0.83,0.14,0.97,-1.24,-0.55
1.22,-0.99,0.84,1.28,-1.84,-1.1
1.53,-0.5,0.92,1.28,-1.84,-1.1
2.42,0.5,0.94,1.39,-2.1,-1.18
3.34,0.83,1.71,1.37,-2.14,-1.28
4.27,2.1,1.18,1.15,-1.98,-1.33
4.89,3.51,1.02,0.81,-1.76,-1.43
4.05,3.63,1.32,0.6,-1.62,-1.57
2.84,3.59,1.04,0.6,-1.62,-1.57
1.82,3.66,0.69,0.64,-1.65,-1.74
0.86,3.48,0.32,0.9,-1.91,-1.94
0.12,3.7,-0.26,1.23,-2.04,-1.88
-0.54,4.48,-0.24,1.23,-2.04,-1.88
-1.07,4.91,1.2,0.57,-1.95,-1.33
-1.68,3.88,3.09,0.23,-2.08,-0.95
-2.66,3.58,2.56,0.25,-1.93,-0.51
-2.95,2.33,1.53,0.38,-1.3,-0.22
-2.61,0.22,1.51,0.61,-0.56,0.05
-2.4,0.49,2.58,0.96,-0.01,0.39
-2.9,0,3.13,1.25,0.19,0.92
-2.84,-1.46,4.16,1.29,0.02,1.33
-2.94,-1.85,5.27,1.37,-0.44,1.77
-3.73,-2.26,5.96,1.37,-0.44,1.77
-5.58,-4.92,7.17,1.69,-1.62,2.04
-4.38,-6.76,5.68,2.01,-1.58,2.2
-1.28,-6.45,5.05,2.01,-1.58,2.2
1.1,-5.78,4.85,2.61,-1.51,2.61
0.37,-3.44,4.68,2.61,-1.51,2.61
-2.48,-1.66,4.45,2.83,-1.28,2.59
-2.83,-2.57,4.7,2.74,-0.83,2.21
-1.88,-0.2,5.31,2.12,0.39,1.61
-1.01,5.21,3.93,2.12,0.39,1.61
2.24,6.94,3.72,2.51,-0.47,2.9
2.34,5.96,4.31,2.75,-1.89,3.8
1.8,5.36,4.4,2.75,-1.89,3.8
2.76,4.93,4.39,3.39,-5.94,5.94
1.77,4.42,3.64,3.39,-5.94,5.94
-1.02,3.6,1.48,4.56,-5.6,6.79
-6.26,-0.03,-12.57,4.56,-5.6,6.79
-11.04,-6.79,-25.12,3.51,-2.69,2.9
-8.05,-4.96,-8.6,1.97,-3.73,1.72
-4.33,-0.45,-0.03,0.95,-4.32,1.15
-3.58,2.34,1.68,0.52,-4.53,0.87
-3.66,4.14,3.1,0.52,-4.53,0.87
-2.26,5.01,3.44,0.37,-4.6,1.59
2.39,6.19,3.17,0.37,-4.6,1.59
3.41,6.35,2.58,0.61,-4.69,2.69
2.16,6.02,1.3,0.9,-4.45,3.55
0.72,5.12,-1.34,1.21,-1.95,3.88
1.99,3.56,-3.32,1.69,-1.53,4.18
4.76,0.4,-3.61,1.5,-1.01,4.29
3.22,-3.4,-0.92,1.5,-1.01,4.29
1.16,-5.45,2.29,1.03,-0.76,4.2
0.6,-9.1,3.85,0.02,-0.13,3.84
2.15,-12.05,3.81,-0.38,0.34,3.79
4.18,-12.57,5.31,-0.54,0.02,3.74
4.56,-12.98,7.79,-0.33,-0.49,3.43
3.92,-12.21,7.18,-0.08,-1.16,3.02
3.81,-10.25,6.65,0.26,-1.7,2.39
3.15,-7.57,6.48,0.26,-1.7,2.39
3.45,-4.9,6.06,0.83,-1.55,1.34
3.83,-2.33,5.15,0.97,-1.28,1.16
2.8,-0.67,4.13,1.13,-1.11,1.19
2.63,1.11,2.98,1.35,-0.84,1.29
2.63,2.96,1.93,1.68,-0.55,1.28
2.14,3.71,0.86,2.07,-0.22,1.23
1.88,4.5,0.07,2.42,-0.06,1.06
1.01,4.05,0.13,2.64,-0.08,0.83
0.78,3.19,0.89,2.72,-0.27,0.52
0.43,1.96,1.55,2.67,-0.55,0.13
0.01,0.42,1.96,2.52,-0.78,-0.21
-0.12,-1.29,2.09,2.27,-0.98,-0.46
-0.32,-2.61,2.07,2.04,-1.1,-0.79
-1.29,-3.18,1.66,1.89,-1.21,-1.24
-2.05,-2.61,1.28,1.89,-1.21,-1.24
-1.87,-1.23,0.85,1.76,-1.43,-1.71
-1.12,-0.18,0.46,1.76,-1.43,-1.71
-0.49,0.51,0.02,1.83,-1.39,-1.3
-0.49,0.93,-0.51,1.99,-1.27,-1.07
-0.8,1.04,-0.98,2.17,-1.1,-0.88
-1.21,1.03,-1.38,2.17,-1.1,-0.88
-1.52,1.21,-1.65,2.51,-0.91,-0.59
-1.66,1.46,-1.84,2.63,-0.86,-0.47
-1.75,1.78,-2.19,2.63,-0.86,-0.47
-1.37,2.35,-2.59,2.7,-0.56,-0.13
-0.53,2.6,-2.98,2.7,-0.56,-0.13
0.45,2.11,-3.27,2.46,0.17,0.36
0.99,1.09,-3.6,2.28,0.61,0.48
1.17,0.12,-4,2.28,0.61,0.48
1.34,-0.82,-4.28,1.77,1.41,0.33
1.67,-1.6,-4.31,1.47,1.75,0.21
2,-2.12,-4.11,1.18,1.94,0.11
2.29,-2.3,-3.83,0.98,2.03,0.04
2.49,-2.39,-3.59,0.86,1.94,0.03
2.66,-2.66,-3.39,0.81,1.69,0.02
2.66,-2.88,-3.6,0.81,1.69,0.02
2.8,-2.94,-3.71,0.73,0.99,0.12
3.25,-2.8,-3.52,0.49,0.71,0.23
3.81,-2.94,-2.96,0.12,0.52,0.28
4.18,-3.54,-2.43,0.12,0.52,0.28
4.5,-4.32,-2.32,-0.47,0.28,0.2
5.09,-4.92,-3.13,-0.5,0.25,0.17
5.97,-5.48,-5.08,-0.42,0.36,0.15
6.96,-5.95,-7.42,-0.37,0.6,0.16
7.8,-5.91,-9.04,-0.56,0.85,0.12
7.93,-5.35,-8.74,-1.01,0.94,-0.09
7.39,-4.9,-6.94,-1.67,0.71,-0.45
6.82,-4.97,-4.4,-2.36,0.15,-0.75
6.4,-4.35,-2.62,-2.96,-0.61,-0.9
5.56,-2.78,-1.7,-3.54,-1.52,-1.01
4.18,-1.2,-0.13,-4.1,-2.53,-1.14
2.42,0.22,2.62,-4.1,-2.53,-1.14
0.85,1.38,4.6,-4.34,-3.49,-1.28
0.24,1.58,4.37,-3.94,-4.65,-1.25
-0.04,-0.03,3.65,-3.7,-4.69,-1.16
-0.16,-2.4,3.2,-3.58,-4.41,-0.98
-0.24,-5.38,3.23,-3.46,-3.84,-0.69
-0.47,-7.99,3.29,-3.27,-2.93,-0.34
-0.96,-9.74,3.06,-2.96,-1.41,-0.02
-1.77,-10.71,2.47,-2.52,0.55,0.18
-2.66,-9.92,2.12,-2.52,0.55,0.18
-3.53,-7.55,2.36,-1.66,3.96,-0.14
-4.46,-4.88,3.09,-1.37,4.75,-0.56
-4.89,-2.56,3.97,-1.37,4.75,-0.56
-4.54,-0.79,4.76,-0.58,4.46,-1.32
-4.16,0.74,4.78,-0.29,4.14,-1.31
-3.68,2.58,4.24,-0.17,3.73,-1.19
-3.11,3.98,4.15,-0.81,2.88,-1.23
-2.11,3.68,3.37,-1.96,1.69,-1.36
-0.77,3.27,2.73,-2.62,0.6,-1.23
-0.16,3.91,2.66,-2.79,-0.21,-0.91
0.07,4.62,2.49,-2.62,-0.7,-0.5
-0.07,4.74,2.4,-2.3,-1.12,-0.22
-0.75,4.16,3.12,-1.9,-1.57,-0.13
-1.22,3.53,3.82,-1.5,-1.97,-0.15
-1.29,3.11,3.89,-1.12,-2.17,-0.21
-1.22,2.8,3.55,-0.83,-2.04,-0.28
-1.13,2.56,2.94,-0.63,-1.62,-0.29
-1.14,2.7,2.78,-0.43,-1.21,-0.12
-1.33,3.7,3.67,-0.24,-1.09,0.17
-1.62,5.19,5.04,-0.08,-1.15,0.41
-1.92,6.36,5.78,0.06,-1.19,0.56
-2.06,7.1,5.85,0.24,-1.21,0.6
-1.96,7.42,5.75,0.46,-1.25,0.55
-1.72,7.5,5.45,0.71,-1.32,0.5
-1.42,7.41,5.11,0.98,-1.56,0.48
-1.22,6.98,4.88,1.3,-1.98,0.47
-1.28,6.01,4.43,1.65,-2.56,0.4
-1.79,3.97,2.98,0.48,-4.03,0.19
-2.06,-1.98,-4.41,-1.99,-4.62,-0.08
-1.97,-10.07,-18.43,-2.87,-3.78,-0.03
-2.04,-13.4,-27.01,-1.6,-2.57,0.04
-1.56,-11.94,-27.59,-1.6,-2.57,0.04
-0.63,-7.27,-19.46,1.48,0.42,-0.44
0.49,-3.13,-11.96,2.41,1.78,-0.71
1.4,0.05,-6.96,2.94,2.73,-0.89
1.93,2.34,-2.92,2.88,3.43,-0.99
2.26,3.25,-1.69,2.16,3.87,-0.97
1.82,1.95,-0.88,1.33,3.9,-0.85
0.47,-1.32,3.03,0.83,3.3,-0.47
-1.29,-4.51,7.86,0.75,2.07,0.03
-3.36,-8.32,11.14,0.8,1.2,0.35
-5.58,-12.03,10.33,0.66,1.2,0.47
-7.25,-12.36,7.49,0.1,1.52,0.21
-6.69,-8.05,4.11,0.1,1.52,0.21
-4.65,-0.13,3.88,-0.44,1.08,0.24
-3.08,4.89,4.05,-0.25,0.49,0.33
-2.14,7.22,3.48,0.25,-0.12,0.41
-1.41,7.91,3.59,0.85,-0.66,0.54
-1.32,6.7,4.13,0.85,-0.66,0.54
-1.86,3.82,4.67,1.61,-1.13,0.9
-2.5,0.44,5.24,1.75,-1.33,0.99
-2.85,-1.82,6,1.82,-1.66,0.95
-2.74,-2.4,6.53,1.82,-2.06,0.85
-1.96,-1.7,6.55,1.7,-2.26,0.85
-0.99,-0.77,5.77,1.46,-2.11,0.94
-0.43,-0.04,4.48,1.26,-1.89,1.01
0.06,0.85,3.69,1.11,-1.72,1
0.3,1.38,3.19,1.08,-1.64,0.91
0.48,1.71,2.57,1.13,-1.65,0.74
0.57,1.71,2.03,1.42,-1.46,0.55
1.18,1.93,-1.49,2.49,-0.4,0.56
2.75,2.9,-8.22,3.31,0.77,0.54
