ax,ay,az,wx,wy,wz
-0.23,0.09,0.23,0,-0.26,-0.08
-0.17,0.11,0.16,0.03,-0.3,-0.1
-0.13,0.17,0.18,0.02,-0.32,-0.12
-0.04,0.24,0.22,0,-0.31,-0.13
0.01,0.24,0.3,-0.01,-0.28,-0.14
0.01,0.2,0.42,0,-0.26,-0.16
0.04,0.18,0.56,0.03,-0.23,-0.17
0.09,0.14,0.69,0.06,-0.21,-0.18
0.1,0.13,0.71,0.09,-0.18,-0.19
-0.01,0.08,0.59,0.08,-0.14,-0.18
-0.12,0.03,0.4,0.07,-0.12,-0.17
-0.16,0.05,0.24,0.06,-0.09,-0.16
-0.15,0.08,0.18,0.05,-0.07,-0.14
-0.18,0.03,0.12,0.05,-0.04,-0.15
-0.11,0.12,0.06,0.05,-0.03,-0.19
0.13,0.31,-0.04,0.04,0,-0.23
0.29,0.38,0.04,0.03,0.04,-0.25
0.29,0.23,0.14,0.01,0.09,-0.25
0.2,0.07,0.12,-0.01,0.15,-0.23
0.13,0.03,-0.03,-0.06,0.19,-0.22
0.21,0.04,-0.19,-0.09,0.21,-0.22
0.36,0.16,-0.33,-0.12,0.21,-0.23
0.37,0.22,-0.52,-0.14,0.18,-0.24
0.27,0.21,-0.65,-0.13,0.12,-0.23
0.19,0.13,-0.77,-0.1,0.07,-0.21
0.1,-0.04,-0.81,-0.07,0,-0.19
-0.01,-0.14,-0.85,-0.04,-0.1,-0.16
-0.08,-0.21,-0.92,0.02,-0.15,-0.13
-0.04,-0.25,-0.78,0.08,-0.2,-0.11
0.07,-0.21,-0.75,0.12,-0.25,-0.1
0.23,-0.06,-0.88,0.13,-0.3,-0.12
0.42,0.12,-1.06,0.11,-0.38,-0.17
0.63,0.33,-1.42,0.07,-0.49,-0.23
0.7,0.42,-1.74,0.03,-0.57,-0.25
0.62,0.29,-1.91,0.01,-0.65,-0.21
0.43,-0.09,-1.94,0.04,-0.74,-0.15
0.18,-0.48,-2.13,0.09,-0.81,-0.07
0.12,-0.78,-2.36,0.05,-0.34,-0.05
0.56,-1.25,-2.4,-0.1,-0.13,0.09
0.47,-1.35,-3.47,-0.28,-0.38,0.28
-0.22,-1.04,-4.3,-0.42,-0.68,0.48
-0.07,-0.81,-4.23,-0.47,-0.77,0.63
0.45,-0.61,-3.37,-0.44,-0.79,0.71
0.89,-0.69,-2.86,-0.32,-0.86,0.71
1.31,-1.04,-2.79,-0.18,-1.04,0.68
1.54,-1.55,-3.06,0,-1.28,0.66
1.41,-2.15,-3.37,0.2,-1.58,0.67
1.04,-2.68,-3.8,0.4,-1.94,0.72
0.54,-3.18,-4.43,0.57,-2.31,0.86
0.11,-3.65,-5.1,0.66,-2.63,1.04
-0.17,-4.09,-5.5,0.62,-2.84,1.24
-0.48,-4.19,-5.48,0.45,-2.99,1.44
-0.76,-4.52,-5.46,0.24,-3.05,1.71
-1.15,-5.33,-5.25,0.08,-3.05,2.06
-1.89,-6.18,-4.77,-0.02,-3,2.45
-2.8,-6.6,-4.52,-0.11,-3.08,2.82
-2.88,-6.85,-5.1,-0.21,-3.36,3.07
-2.22,-6.91,-6.02,-0.3,-3.68,3.18
-1.69,-6.72,-6.21,-0.38,-4.07,3.23
-1.44,-6.66,-5.99,-0.49,-4.46,3.28
-1.38,-6.94,-6.7,-0.81,-4.3,3.45
-1.76,-7.33,-3.78,-1.29,-3.91,3.68
-2.52,-7.53,-2.02,-1.8,-3.58,3.87
-2.63,-7.57,-2.18,-2.4,-3.13,4.08
-2.25,-7.82,-1.61,-3.08,-2.5,4.28
-1.97,-7.91,0.24,-3.74,-1.87,4.41
-1.68,-7.6,1.61,-4.32,-1.4,4.41
-0.64,-7.22,2.42,-4.79,-1.12,4.27
0.48,-6.58,3.55,-5.06,-0.99,4.05
1.24,-6.42,4.99,-5.03,-0.98,3.87
1.51,-7.15,7.01,-4.7,-1.01,3.76
1.33,-7.87,9.01,-4.12,-0.93,3.72
1.63,-8.24,10.91,-3.48,-0.71,3.67
2.12,-7.87,12.6,-2.98,-0.48,3.62
2.64,-6.83,13.01,-2.72,-0.29,3.55
3.07,-5.83,12.19,-2.62,-0.02,3.47
3.27,-4.94,11.81,-2.61,0.26,3.42
3.35,-4.35,11.55,-2.65,0.54,3.38
3.57,-3.96,11.35,-2.71,0.8,3.34
4.05,-3.44,11.14,-2.75,0.95,3.24
4.75,-2.75,10.61,-2.75,1.13,3.07
5.67,-2.2,10.65,-2.7,1.37,2.84
6.54,-1.61,10.87,-2.61,1.66,2.55
7.35,-0.95,10.96,-2.48,1.96,2.22
7.89,-0.48,11,-2.3,2.27,1.9
8.27,-0.28,11,-2.03,2.61,1.59
8.4,-0.21,11.11,-1.67,2.89,1.31
8.33,-0.21,11,-1.22,3.03,1.07
8.25,-0.01,10.48,-0.75,3.08,0.9
7.89,0.11,9.46,-0.35,2.97,0.77
7.45,0.36,7.68,-0.09,2.94,0.62
7.53,1.12,6.08,-0.1,3.19,0.54
8.36,2.27,4.6,-0.41,3.32,0.35
8.91,2.87,1.89,-0.88,2.92,0.08
8.34,3.66,-1.31,-1.98,1.87,-0.31
8.33,6.39,-11.5,-2.16,1.98,-0.39
7.29,6.53,-7.16,-2.01,2.06,-0.43
6.86,4.33,-3.08,-1.72,2.01,-0.54
5.99,2.31,-2.06,-1.07,1.75,-0.64
4.76,0.26,1.3,-0.57,0.88,-0.76
3.7,0.37,-0.4,-0.34,0.19,-0.81
2.64,0.64,-3.1,-0.28,-0.29,-0.7
1.11,-0.23,-4.05,-0.19,-0.51,-0.4
-0.29,-1.97,-2.22,-0.34,-0.49,0.16
-1.49,-2.44,-0.88,-0.72,-0.32,0.45
-0.09,-1.49,-1.64,-1,-0.11,0.72
0.82,-1.54,-0.91,-0.95,0.08,0.97
0.72,-1.93,0.72,0.29,0.21,1
1.44,-5.54,8.27,0.61,0.14,1.09
0.19,-3.02,3.68,1.08,0.52,1.19
0.55,-3.26,4.43,0.73,1.16,1.35
0.76,-2.94,3.68,0.32,2.1,1.51
0.75,-1.7,3.09,-0.15,2.39,1.64
0.96,-0.94,1.53,-0.34,2.52,1.54
1.15,-0.37,1.27,-0.28,1.75,1.33
1.01,0.42,-0.42,0.26,1.76,1.08
0.8,0.82,0.78,0.39,1.71,1.02
0.51,-0.36,0.39,0.24,1.25,1.14
-0.99,0.26,-3.65,0.14,1.02,1.23
-0.65,0.13,-2.45,0.06,0.67,1.19
0.26,0.58,-1.93,-0.02,0.54,1.2
0.22,1.06,-1.64,-0.03,0.36,1.19
0.22,0.88,-1.21,0.44,0.91,1.25
0.02,-0.16,3.06,0.78,1.11,1.41
0.09,-0.88,4.14,0.98,1.17,1.52
0.46,-0.7,2.73,1.32,1.52,1.53
1.42,-0.48,5.02,1.32,1.49,1.41
1.99,0.65,3.38,1.2,1.75,1.21
2.53,2.87,0.52,0.99,1.6,1.09
2,3.24,-0.56,0.5,1.23,0.8
2.19,4.86,-4.85,-0.35,1.15,0.48
2.79,7.64,-8.49,-0.47,1.31,0.41
1.84,6.98,-5.05,0.34,0.69,0.38
0.9,3.58,-0.31,1.4,0.06,0.15
1.12,2.41,2.83,2.41,-1.08,-0.19
1.61,3.29,2.61,1.87,-1.59,-0.61
2.03,5.42,-3.54,0.66,-1.13,-0.65
0.49,7.48,-7.66,-0.28,-0.51,-0.44
-0.51,5.04,-5.38,-0.46,-0.09,-0.31
0.16,2.58,-1.3,-0.32,-0.09,-0.27
0.39,0.7,0.76,-0.12,-0.08,-0.26
0.26,-0.14,0.58,0.07,0.04,-0.22
0.14,-0.74,0.69,0.2,0.22,-0.18
0.25,-1.11,0.26,0.3,0.46,-0.15
0.3,-1.05,0.24,0.37,0.61,-0.14
0.3,-0.93,-0.21,0.44,0.67,-0.15
0.29,-0.74,-0.49,0.49,0.67,-0.16
0.12,-0.6,-0.49,0.55,0.58,-0.17
0.03,-0.5,-0.56,0.6,0.44,-0.18
-0.02,-0.04,-0.65,0.6,0.27,-0.21
-0.16,0.65,-0.96,0.55,0.04,-0.25
-0.38,1.59,-1.44,0.45,-0.2,-0.31
-0.74,2.58,-1.74,0.38,-0.38,-0.41
-0.89,3.28,-1.24,0.28,-0.65,-0.55
-0.79,3.99,-1.11,0.11,-0.83,-0.66
-0.97,4.19,-1.06,-0.12,-0.93,-0.73
-0.91,3.87,-1.32,-0.39,-1.04,-0.78
-0.57,3.27,-1.91,-0.7,-1.1,-0.79
-0.42,2.07,-1.9,-1.05,-0.98,-0.72
-0.45,0.97,-1.13,-1.48,-0.76,-0.67
0.14,0.37,-0.86,-1.88,-0.31,-0.76
0.98,0.38,-0.21,-2.18,0.22,-0.85
0.92,1,0.99,-2.4,0.58,-0.87
0.13,1.65,1.02,-2.58,0.73,-0.85
-0.05,1.51,0.29,-2.7,0.78,-0.91
0.21,1.43,-0.54,-2.7,0.76,-1.13
1.28,1.43,-1.14,-2.5,0.58,-1.25
1.03,1.05,-1.02,-2.19,0.31,-1.19
0.03,-0.99,-0.18,-1.77,0.01,-1.05
-0.57,-2.32,0.97,-1.34,-0.27,-0.91
-0.8,-2.83,1.75,-0.94,-0.58,-0.83
-0.55,-2.58,1.94,-0.61,-0.73,-0.79
-0.32,-2.46,1.96,-0.43,-0.76,-0.84
0.09,-2.5,1.51,-0.34,-0.66,-0.87
0.61,-2.82,1.02,-0.36,-0.65,-0.88
0.3,-1.67,0.36,-0.42,-0.45,-0.92
0.68,-0.91,0.52,-0.48,-0.22,-0.94
0.49,-0.59,0.53,-0.5,-0.03,-0.91
0.48,-0.59,0.62,-0.5,0.03,-0.84
0.43,-0.79,0.68,-0.45,0.02,-0.84
0.64,-1.51,1.14,-0.33,0.01,-0.82
0.55,-2.71,2.13,-0.32,0.07,-0.8
0.47,-2.53,1.9,-0.34,0.15,-0.8
0.75,-1.97,1.3,-0.26,0.24,-0.79
0.86,-1.88,1.03,-0.06,0.3,-0.76
0.81,-1.62,0.49,0.21,0.34,-0.72
0.65,-1.34,-0.24,0.51,0.31,-0.65
0.42,-1,-1.01,0.78,0.19,-0.59
0.41,-0.48,-1.65,0.96,0,-0.57
0.34,0.32,-2.23,1.07,-0.15,-0.61
0.06,0.78,-2.16,1.08,-0.27,-0.67
-0.14,1,-1.65,1.03,-0.31,-0.93
0.32,1.73,-0.98,0.94,-0.36,-1.35
2.14,3.24,-0.31,0.82,-0.31,-1.5
1.13,2.29,-0.03,0.69,-0.08,-1.42
0.24,1.04,0.87,0.54,0.16,-1.23
0.2,-0.37,1.02,0.38,0.44,-1.11
0.99,0.22,1.2,0.2,0.79,-1.05
0.92,0.42,1.22,0.03,1.1,-1.01
1.27,0.35,0.92,-0.12,1.31,-1.07
1.83,0.94,0.34,-0.2,1.54,-1.19
2.16,1.31,-0.01,-0.26,1.75,-1.25
1.67,1.07,-0.1,-0.33,1.85,-1.25
0.64,1.34,-1,-0.38,1.77,-1.26
0.17,1.26,-1.64,-0.28,1.59,-1.17
-0.45,0.81,-1.3,-0.05,1.42,-0.98
-1.58,-0.65,-0.06,0.13,1.25,-0.86
-1.89,-1.41,0.23,0.21,1.07,-0.78
-2.09,-1.37,-0.35,0.41,0.96,-0.63
-2.37,-1.73,0.25,0.67,0.84,-0.34
-3.44,-2.21,0.64,0.87,0.75,-0.1
-3.77,-2.09,0.13,0.99,0.62,0.14
-3.9,-2.28,-0.51,1.17,0.47,0.14
-2.63,-1.7,-0.36,1.31,0.24,0.04
-0.61,-0.09,-0.39,1.37,0.17,0.07
-0.46,-0.65,-0.52,1.36,0.28,0.16
0.41,-0.99,0.17,1.27,0.54,0.31
1.06,-1.1,0.7,1.1,0.87,0.43
1.52,-0.88,0.73,0.9,1.1,0.53
1.63,-0.69,0.54,0.71,1.15,0.58
1.37,-0.61,0.46,0.54,0.99,0.59
1.08,-0.18,0.17,0.34,0.53,0.56
0.14,0.72,-0.89,0.21,-0.15,0.52
-1.02,1.3,-1,0.17,-0.87,0.51
-1.52,0.87,0.06,0.18,-1.51,0.53
-0.65,0.88,1.04,0.12,-1.76,0.46
1.1,0.92,1.67,0.07,-1.28,0.19
2.62,0.64,3.28,-0.06,-0.5,-0.06
2.67,0.65,3.7,-0.2,0.26,-0.22
1.74,0.21,1.85,-0.29,0.76,-0.22
0.92,-0.58,0.13,-0.25,1,-0.19
0.24,-0.97,-1.13,-0.05,1.07,-0.2
0.09,-1.03,-1.55,0.23,0.92,-0.15
-0.17,-1.07,-2.24,0.51,0.64,-0.11
0.07,-0.71,-2.37,0.74,0.42,-0.1
0.55,-0.56,-1.73,0.91,0.4,-0.13
0.99,-0.37,-0.47,0.97,0.49,-0.13
1.43,-0.09,0.76,0.96,0.8,-0.13
1.53,-0.1,2.63,0.79,1.42,-0.08
1.31,-0.41,4.92,0.41,1.92,0.07
-0.03,-0.69,4.44,-0.04,2.23,0.34
-1.36,-0.75,2.41,-0.56,2.23,0.64
-2.16,-0.44,0.4,-1.04,2.15,0.92
-2.92,-0.33,-0.96,-1.5,1.84,1.18
-3.74,-0.47,-2.67,-1.74,1.72,1.34
-3.29,-0.63,-1.35,-1.76,1.85,1.35
-2.38,-0.59,-0.47,-1.67,2.13,1.35
-1.38,-1.05,3.65,-1.57,1.98,1.28
-1.74,-1.03,1.87,-1.51,1.81,1.04
-0.95,-0.01,0.52,-1.37,1.42,0.84
-1.34,0.36,-0.84,-1.18,0.79,0.7
-1.2,0.25,-3.03,-0.99,0.29,0.59
-0.95,0.92,-3.05,-0.88,-0.11,0.46
-0.59,1.51,-3.04,-0.87,-0.18,0.44
-0.13,0.91,-2.02,-0.98,-0.1,0.63
-0.7,-0.88,-0.42,-1.14,-0.04,0.98
-0.71,-2.09,-0.56,-1.28,0.18,1.33
-0.19,-2.02,-0.57,-1.39,0.53,1.6
0.06,-1.41,-0.33,-1.49,0.78,1.79
0.42,-0.52,-0.82,-1.53,0.95,1.88
0.69,0.59,-1.18,-1.51,0.96,1.85
0.99,1.81,-1.51,-1.38,0.79,1.75
0.82,2.65,-1.6,-1.14,0.51,1.54
1.07,3.43,-1.08,-0.8,0.12,1.26
1.08,3.56,-0.92,-0.37,-0.15,0.92
1.94,3.78,1.26,-0.02,-0.35,0.5
1.79,4.38,0.75,0.24,-0.54,0.06
1.79,4.38,0.75,0.4,-0.7,-0.21
1.12,3.74,0.38,0.27,-1.04,-0.28
-0.75,2.69,-1.43,-0.11,-1.53,-0.35
-1.41,2.69,-3.9,-0.48,-2.05,-0.45
-1.61,2.9,-4.33,-0.67,-2.67,-0.52
-1.63,2.15,-3.66,-0.64,-3.4,-0.65
-0.63,1.74,-2.97,-0.4,-3.95,-0.9
0.66,1.88,-0.8,-0.12,-4.33,-1.2
1.27,1.34,0.07,0.09,-4.63,-1.46
1.48,0.89,0.16,0.23,-4.43,-1.76
1.76,0.47,1.17,0.06,-3.71,-2.01
1.5,0.07,2.61,-0.28,-2.46,-1.9
-0.91,-2.7,5.37,-0.78,-2.03,-1.88
0.04,-3.59,2.61,-1.04,-1.7,-2
1.6,-1.86,1.28,-1.12,-1.28,-2.17
2.26,-1.19,1.46,-1.29,-1.27,-2.24
1.26,-2.01,0.1,-1.37,-1.1,-2.47
1.96,-0.43,-1.05,-1.22,-0.88,-2.14
1.08,-3.18,1.3,-0.95,-0.8,-1.61
-1.25,-5.58,2.07,-0.7,-0.73,-1.22
0.71,-3.03,2.34,-0.55,-0.72,-1.16
0.71,-3.03,2.34,-0.5,-0.85,-1.26
1.41,-0.88,0.55,-0.42,-1.11,-1.53
1.71,0.27,-0.12,-0.32,-1.46,-1.79
1.54,0.81,-0.3,-0.19,-1.77,-1.87
0.51,0.5,-0.04,-0.09,-1.68,-1.86
-0.04,0.42,0.88,-0.05,-1.31,-1.7
-0.43,-0.23,1.58,-0.08,-0.85,-1.35
-0.93,-0.85,1.25,-0.18,-0.35,-0.94
-1.37,-1.03,0.82,-0.37,0.08,-0.62
-1.29,-0.38,-0.27,-0.53,0.38,-0.51
-0.87,0.72,-0.46,-0.53,0.48,-0.55
-0.13,1.43,0.05,-0.33,0.37,-0.62
0.4,1.18,1.24,-0.17,-0.32,-0.88
2.48,3.06,0.96,-0.38,-0.65,-1
0.21,5.58,-1.92,-0.66,-0.35,-0.96
-2.57,1.74,0.24,-0.87,-0.17,-0.75
-1.98,-0.19,0.82,-0.95,0.17,-0.39
-3.51,-0.83,1.65,-1.02,0.55,-0.09
-3.85,-2.26,1.74,-1.08,0.4,-0.05
-3.11,-1.57,-0.89,-1.06,-0.15,-0.15
-2.39,-0.22,-2.75,-1,-0.79,-0.11
-2.81,-0.67,-3.59,-1,-1.27,0.14
-3.58,-1.19,-3.4,-0.97,-1.44,0.5
-3.12,-1.94,-2.36,-0.92,-1.36,0.88
-2.76,-2.35,-1.06,-0.87,-1.07,1.27
-1.96,-2.57,-0.02,-0.83,-0.64,1.61
-1.63,-2.74,0.84,-0.7,-0.31,1.91
-1.49,-2.72,1.28,-0.45,-0.15,2.12
-1.6,-2.97,1.65,-0.1,-0.23,2.28
-1.6,-2.71,1.42,0.21,-0.56,2.37
-1.7,-2.09,0.35,0.47,-0.98,2.4
-1.4,-1.8,0.08,0.61,-1.3,2.52
-1.4,-1.81,-0.09,0.56,-1.35,2.7
-0.73,-1.15,-0.55,0.4,-1.4,3.1
-0.48,0.24,-0.36,-0.14,-1.32,3.69
-1.91,1.89,-2.69,-0.43,-0.35,2.9
6.43,5.57,1.44,-0.55,-0.35,1.87
12.34,9,1.85,-0.3,-0.27,1.24
11.48,7.39,2.23,-0.1,0.04,1.36
7.25,2.39,3.57,-0.2,0.32,1.86
3.23,-0.16,1.83,-0.49,0.7,2.21
2.83,0.12,1.71,-0.75,1.02,2.3
3.6,0.96,2.41,-0.92,1.23,2.23
3.07,1.41,2.44,-1.03,1.27,2.11
2.26,1.39,1.89,-1.04,1.05,1.95
0.97,0.48,0.67,-0.9,0.56,1.73
0.2,-0.99,-1.01,-0.62,-0.12,1.58
-0.66,-2.24,-2.62,-0.26,-0.73,1.5
-0.69,-2.96,-3.01,0.06,-0.94,1.53
0.16,-2.95,-1.05,0.17,-0.79,1.46
0.99,-2.51,0.99,0.11,-0.52,1.38
0.76,-2.85,1.72,-0.02,-0.17,1.25
0.12,-3.12,1.78,-0.11,0.09,0.99
-0.14,-3.04,1.44,-0.19,0.02,0.7
-1.07,-2.73,0.46,-0.17,-0.1,0.3
-1.27,-2.43,-0.23,-0.13,-0.19,-0.07
-0.73,-1.52,-0.06,-0.09,-0.25,-0.31
-0.55,-1.1,0.46,-0.06,-0.42,-0.4
-0.38,-1.12,0.38,-0.06,-0.56,-0.44
-0.13,-1.19,0.46,-0.1,-0.75,-0.47
0.3,-0.98,0.31,-0.23,-0.96,-0.49
0.54,-0.52,0.06,-0.44,-1.12,-0.41
0.56,-0.04,-0.03,-0.67,-1.11,-0.27
0.42,0.32,0.38,-0.83,-0.95,-0.1
0.44,0.49,0.9,-0.92,-0.75,0.07
0.4,0.76,1.26,-0.93,-0.6,0.23
0.05,1.11,1.39,-0.81,-0.61,0.28
0.29,1.86,1.35,-0.61,-0.68,0.17
0.85,2.5,1.32,-0.38,-0.76,-0.02
0.92,3.05,0.98,-0.11,-0.77,-0.23
0.6,3.58,0.95,0.14,-0.77,-0.39
0.04,3.57,0.85,0.33,-0.74,-0.53
-0.08,3.07,0.7,0.43,-0.71,-0.62
-0.2,2.41,0.64,0.45,-0.64,-0.66
-0.44,2.27,0.54,0.45,-0.52,-0.66
-0.48,2.26,0.69,0.49,-0.37,-0.63
-0.49,2.23,1.06,0.56,-0.25,-0.57
-0.31,2.36,1.2,0.67,-0.03,-0.53
0.12,2.23,1.57,0.69,0.25,-0.41
0.54,1.36,2.01,0.59,0.28,-0.26
0.43,0.43,0.82,0.43,0.13,-0.11
0.47,0.19,-0.09,0.28,-0.07,0.05
0.53,-0.56,-0.05,0.16,-0.21,0.22
0.63,-1.39,0.29,0.09,-0.33,0.34
1.03,-2.2,0.43,0.09,-0.39,0.44
1.26,-3.01,0.57,0.1,-0.18,0.4
1.23,-3.23,1.02,0.09,-0.03,0.3
0.75,-2.7,1.07,0.08,-0.07,0.23
0.15,-2.52,0.18,0.14,-0.11,0.17
0.13,-2.46,0.29,0.2,-0.15,0.13
0.15,-2.6,0.28,0.2,-0.15,0.1
0.2,-2.34,0.39,0.14,-0.1,0.02
0.42,-1.69,0.62,0,0.01,-0.1
0.91,-0.49,0.83,-0.08,-0.13,-0.2
0.66,0.2,0.56,-0.17,-0.21,-0.27
0.27,0.48,0.49,-0.38,-0.35,-0.43
0.36,2.26,0.58,-0.68,-0.5,-0.7
0.33,4.15,0.49,-0.99,-0.56,-1.25
-0.33,9.37,0.92,-0.61,-0.15,-1.44
1.52,7.84,2.53,-0.1,-0.22,-1.37
3.13,0.41,1.84,0.15,-0.35,-1.37
2.45,0.03,0.76,0.25,-0.42,-1.4
1.78,-0.28,1.09,0.29,-0.45,-1.46
1.16,-0.52,0.98,0.32,-0.55,-1.57
0.79,-0.58,0.63,0.33,-0.69,-1.73
0.54,-0.49,0.44,0.27,-0.67,-1.78
0.57,-0.75,0.69,0.16,-0.48,-1.69
0.51,-1.63,1.37,0.07,-0.22,-1.41
0.17,-2.67,1.6,0.03,-0.03,-1.08
-0.2,-3.28,1.53,0.06,0.07,-0.76
-0.05,-3.03,1.41,0.1,0.07,-0.47
0.01,-2.48,1.3,0.17,-0.09,-0.36
0.37,-1.15,0.64,0.22,-0.14,-0.29
